"","tree.uniqueID","Year","event","spei_post","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","simple_comp","BA","DBH","reduction","spei12","post1","post2","spei_post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","scaled_leg","scaled_dfx","scaled_spei","Region1","rel_dfx","rel_leg","recovery","log_hegyi","dfx_score","recov_score","comp","mean_spei12","sd_spei12","mean_dfx","sd_dfx","mean_dbh","sd_dbh","mean_comp","sd_comp","X.1","X","Y","elev","aspect","slope","northness","northslope","Series","drainage","Hydro_G","descriptio","order_","texture"
"1","10ac1_1",1959,"post1",-1.33733898536395,1960,0.770595559219402,0.771213777252433,0.73833553956636,0.802007567136049,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"no",-1.57518131114403,0.576109409697605,0.477950308482775,-1.24838936836364,-0.278063357569926,-0.194486149521797,-0.195104367554828,-0.225898157438444,-0.162226129868755,0.293953608783519,0.607094573944582,0.365947941637593,"lat4",1.65896430849665,0.484197390982368,-0.194486149521797,1.02504682319544,-0.975875099736075,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"2","10ac1_1",1960,"post1",-1.24838936836364,1961,0.785904955176092,0.786393715098219,0.754541813444735,0.816296324939275,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"yes",-1.33733898536395,0.477950308482775,0.742265563906506,-0.194995633816734,0.259129390918454,-0.307954646693318,-0.308443406615444,-0.3383460164565,-0.27659150496196,0.252774692269935,0.783127577092416,0.168082705753435,"lat4",4.6591799767979,0.322775879261503,-0.307954646693318,1.02504682319544,0.909425543937418,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"3","10ac1_1",1968,"post1",0.842066107496866,1969,1.14972562800818,1.14862318794819,1.12552674865552,1.17884668785505,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"no",-1.51086091961417,1.52325588508992,1.22543434985333,-0.249092479570667,-0.824592643267479,0.373530257081743,0.374632697141729,0.344409197234871,0.397729136434398,0.500092764310675,0.428002075506543,0.312438670735218,"lat4",1.36987548468116,1.16843537199863,0.373530257081743,1.02504682319544,-2.89394271515233,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"4","10ac1_1",1977,"post1",0.659049250066537,1978,1.11727193577212,1.11617704391247,1.09649043729334,1.14141884213344,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"yes",-1.95712685884876,0.567878540991654,1.64954900543265,-0.493186321902175,0.454760441774799,-0.549393394780467,-0.548298502920819,-0.57354030114179,-0.528611896301689,0.165154019585815,0.847234029549404,0.683695195595151,"lat4",1.239198454235,0.194933175280567,-0.549393394780467,1.02504682319544,1.59600098104045,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"5","10ac1_1",1987,"post1",-0.942350057055008,1988,0.838521646797174,0.838907739743381,0.815078025239913,0.862098737096217,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"no",-1.44503741033721,0.693885167025326,0.769057833011822,-0.433219802467772,-0.117139415346533,-0.144636479771848,-0.145022572718055,-0.168213570070891,-0.121192858214587,0.312044580639433,0.659827833854894,0.257678929603817,"lat4",2.56065885895049,0.472918183545522,-0.144636479771848,1.02504682319544,-0.411105726527007,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"6","10ac1_1",1994,"post1",1.3668932209129,1995,1.24126576353294,1.24048436217239,1.20768055070273,1.28074257214129,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"no",-1.53895132603078,0.706284797309041,1.2110492087296,0.363502655145601,-0.0239465881746311,-0.5349809662239,-0.534199564863352,-0.574457774832248,-0.501395753393693,0.170384442188414,0.690366245412141,0.335807576473404,"lat4",2.0558388010844,0.246802973524143,-0.5349809662239,1.02504682319544,-0.0840415627844102,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"7","10ac1_1",2007,"post1",-0.504548595632735,2008,0.914851880600872,0.914348321374017,0.898078121654227,0.93405000171032,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"no",-1.39332607063783,0.988510409077458,1.08566602299755,-0.0771853841341844,-0.80788327773633,0.0736585284765864,0.0741620877034405,0.0544604073671377,0.0904322874232305,0.39126614560302,0.433477577183399,0.214659351848073,"lat4",2.01937429444116,0.902621418494918,0.0736585284765864,1.02504682319544,-2.83530049096018,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"8","10ac1_1",2012,"post1",-1.36140365486904,2013,0.766582386628003,0.767015517591378,0.729733776864026,0.800921893208542,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"no",-1.42493918258355,0.386473368195494,0.318333630774875,-1.54921500174006,-0.199625965019928,-0.380109018432509,-0.380542149395884,-0.414448525013048,-0.343260408668531,0.226589108394203,0.632797768577263,0.240958858597576,"lat4",2.6261651979108,0.358075074922671,-0.380109018432509,1.02504682319544,-0.700595757118924,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"9","10ac1_1",2013,"post1",-1.54921500174006,2014,0.733022753674177,0.733082471119148,0.695379829157263,0.772689397299296,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"yes",-1.36140365486904,0.318333630774875,0.432557396120353,-1.82405314854576,0.50299933507581,-0.414689122899301,-0.414748840344272,-0.454355766524421,-0.377046198382388,0.214039623115337,0.863041460457956,0.188102529779635,"lat4",4.58814382490774,0.248006188488049,-0.414689122899301,1.02504682319544,1.7652974148557,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"10","10ac1_1",2014,"post1",-1.82405314854576,2015,0.684614057415388,0.684414404402321,0.644938622789274,0.728551019298721,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"yes",-1.54921500174006,0.432557396120353,NA,NA,0.590626316888116,-0.252056661295035,-0.251857008281968,-0.295993623178368,-0.212381226668921,0.273060661780168,0.891755996922951,0.3443461097584,"lat4",2.58970835346049,0.306205579466107,-0.252056661295035,1.02504682319544,2.0728280091885,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"11","10ac1_1",2015,"post1",NA,2016,NA,NA,NA,NA,"sl","AC",1,"Mammoth","high",2.7872259643366,141.033633795432,9.033125740254,50.6,"yes",-1.82405314854576,NA,NA,NA,0.443735762457647,NA,NA,NA,NA,NA,0.843621345993267,0.572988823242281,"lat4",1.47231728050052,NA,NA,1.02504682319544,1.55730940325686,NA,9.033125740254,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"12","10ac1_2",1924,"post1",1.12665505846153,1925,1.19872344829357,1.19798246255115,1.16725441666472,1.23267790355397,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"yes",-1.75645984309405,0.860470823407906,1.01757817889428,-0.0902027465608272,0.029895598579345,-0.33825262488566,-0.337511639143248,-0.372207080146068,-0.306783593256812,0.24177923586033,0.708009822800368,0.516756757382991,"lat4",1.3701026889052,0.341491357992788,-0.33825262488566,-0.232091235913442,0.104919866106239,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"13","10ac1_2",1934,"post1",0.225105622523544,1935,1.0420242818578,1.04082131176156,1.02731256655583,1.06244927486868,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"no",-1.5801073545413,0.729039205258395,0.900353214877037,1.49048368589492,-0.23242638705144,-0.312985076599407,-0.311782106503163,-0.333410069610283,-0.298273361297432,0.250949096106296,0.622049379268265,0.370046004232553,"lat4",1.68100552945667,0.403423111524513,-0.312985076599407,-0.232091235913442,-0.815710223840191,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"14","10ac1_2",1959,"post1",-1.33733898536395,1960,0.769877563020697,0.770360237012911,0.737902874891133,0.800443872718658,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"no",-1.57518131114403,0.53679249637169,0.625205711520458,-1.24838936836364,-0.500247224508055,-0.233085066649007,-0.233567740641221,-0.263651376346968,-0.201110378519443,0.279945653928054,0.534287013793826,0.365947941637593,"lat4",1.46000824981533,0.523961179479614,-0.233085066649007,-0.232091235913442,-1.75563876655962,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"15","10ac1_2",1960,"post1",-1.24838936836364,1961,0.785830709211795,0.786387035482483,0.755025552139209,0.81749228969787,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"yes",-1.33733898536395,0.625205711520458,1.07485261521082,-0.194995633816734,0.212316445514225,-0.160624997691337,-0.161181323962025,-0.192286578177413,-0.129819840618751,0.306242178554321,0.767787415876744,0.168082705753435,"lat4",4.56791442305214,0.398863242899885,-0.160624997691337,-0.232091235913442,0.74513353450283,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"16","10ac1_2",1968,"post1",0.842066107496866,1969,1.14938966957863,1.14906151059935,1.12364158982401,1.17692291650927,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"no",-1.51086091961417,1.36644357038156,1.24910490743193,-0.249092479570667,-0.418232540105798,0.217053900802926,0.217382059782201,0.18952065387229,0.242801980557544,0.443305841312876,0.56116245326723,0.312438670735218,"lat4",1.79607233620194,0.789977730569529,0.217053900802926,-0.232091235913442,-1.46780476706996,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"17","10ac1_2",1977,"post1",0.659049250066537,1978,1.11768175553865,1.11665822947858,1.09716389313224,1.14239555985366,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"yes",-1.95712685884876,1.16109322369791,1.38068788589955,-0.493186321902175,0.251348114764829,0.0434114681592594,0.0444349942193323,0.0186976638442457,0.0639293305656665,0.380289167828249,0.780577726199046,0.683695195595151,"lat4",1.14170427293929,0.487189366368463,0.0434114681592594,-0.232091235913442,0.882116826568632,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"18","10ac1_2",1987,"post1",-0.942350057055008,1988,0.839359024480256,0.840032290834119,0.814215259593077,0.864013441861,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"no",-1.44503741033721,0.846445920882271,0.986039116602942,-0.433219802467772,-0.441318002829038,0.00708689640201557,0.00641363004815243,-0.0175675209787289,0.0322306612891941,0.367106596937915,0.553597564605452,0.257678929603817,"lat4",2.14840059083065,0.663128995517802,0.00708689640201557,-0.232091235913442,-1.54882417370584,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
"19","10ac1_2",1994,"post1",1.3668932209129,1995,1.24136506659329,1.24055147033701,1.2074072342839,1.27929326326454,"sl","AC",1,"Mammoth","high",0.792873781442952,148.822408776842,9.706210398654,187.7,"yes",-1.53895132603078,0.882476921786442,1.25547259197351,0.363502655145601,0.0704765163429154,-0.358888144806849,-0.358074548550572,-0.396816341478094,-0.324930312497455,0.23429038764932,0.72130780726594,0.335807576473404,"lat4",2.14797955079214,0.324813325586172,-0.358888144806849,-0.232091235913442,0.247340311273837,NA,9.706210398654,-1.586,0.299,0.006,0.275,49.406,34.968,7.962,4.461,16,-118.9480072,37.61224782,2612,352.470733642578,4.8686203956604,0.991378060002764,4.8266434427397,"Martis","Well drained","B","ULTIC HAPLOXERALFS, FINE-LOAMY, MIXED, FRIGID","Alfisols","fine-loamy"
